date,description,merchant,amount,type,category,account,balance
2026-04-01,Monthly Salary Credit Tech Corp,Tech Corp Solutions,85000,credit,Income,HDFC-Salary,112450
2026-04-03,House Rent Payment to Prestige Apt,Prestige Properties,24000,debit,Rent,HDFC-Salary,88450
2026-04-07,BESCOM Electricity Bill Payment,BESCOM,1920,debit,Utilities,HDFC-Salary,86530
2026-04-10,Water Bill BWSSB Online,BWSSB,450,debit,Utilities,HDFC-Salary,86080
2026-04-12,Airtel Fiber Broadband Bill,Airtel,1179,debit,Utilities,HDFC-Salary,84901
2026-04-14,Swiggy Bangalore Order 4821,Swiggy,620,debit,Food,HDFC-Salary,84281
2026-04-15,Jio 5G Mobile Recharge,Jio,349,debit,Utilities,HDFC-Salary,83932
2026-04-16,Nature Basket Supermarket Koramangala,Nature's Basket,3420,debit,Groceries,HDFC-Salary,80512
2026-04-18,Netflix Subscription Standard HD,Netflix,649,debit,Subscription,HDFC-Salary,79863
2026-04-19,Uber India Ride Tech Park,Uber,380,debit,Transportation,HDFC-Salary,79483
2026-04-21,Spotify Premium Individual,Spotify,119,debit,Subscription,HDFC-Salary,79364
2026-04-22,Zomato Food Delivery Dinner,Zomato,740,debit,Food,HDFC-Salary,78624
2026-04-23,HP Auto Fuel Station Petrol,HP Petrol Pump,2100,debit,Transportation,HDFC-Salary,76524
2026-04-25,Amazon Prime Membership Monthly,Amazon Prime,299,debit,Subscription,HDFC-Salary,76225
2026-04-26,Amazon Retail Order Books,Amazon,1450,debit,Shopping,HDFC-Salary,74775
2026-04-28,Google One 100GB Cloud Storage,Google One,130,debit,Subscription,HDFC-Salary,74645
2026-04-29,Transfer to Own Savings Acct 8821,Self Transfer,15000,debit,Transfer,HDFC-Salary,59645
2026-04-30,Apollo Pharmacy Medicines,Apollo Pharmacy,890,debit,Healthcare,HDFC-Salary,58755
2026-05-01,Monthly Salary Credit Tech Corp,Tech Corp Solutions,85000,credit,Income,HDFC-Salary,143755
2026-05-03,House Rent Payment to Prestige Apt,Prestige Properties,24000,debit,Rent,HDFC-Salary,119755
2026-05-07,BESCOM Electricity Bill Payment,BESCOM,2150,debit,Utilities,HDFC-Salary,117605
2026-05-10,Water Bill BWSSB Online,BWSSB,450,debit,Utilities,HDFC-Salary,117155
2026-05-12,Airtel Fiber Broadband Bill,Airtel,1179,debit,Utilities,HDFC-Salary,115976
2026-05-13,Swiggy Bangalore Order 5192,Swiggy,540,debit,Food,HDFC-Salary,115436
2026-05-15,Jio 5G Mobile Recharge,Jio,349,debit,Utilities,HDFC-Salary,115087
2026-05-16,Nature Basket Supermarket Indiranagar,Nature's Basket,3850,debit,Groceries,HDFC-Salary,111237
2026-05-18,Netflix Subscription Standard HD,Netflix,649,debit,Subscription,HDFC-Salary,110588
2026-05-19,Uber India Ride MG Road,Uber,420,debit,Transportation,HDFC-Salary,110168
2026-05-21,Spotify Premium Individual,Spotify,119,debit,Subscription,HDFC-Salary,110049
2026-05-22,Zomato Food Delivery Lunch,Zomato,680,debit,Food,HDFC-Salary,109369
2026-05-23,HP Auto Fuel Station Petrol,HP Petrol Pump,2250,debit,Transportation,HDFC-Salary,107119
2026-05-24,HDFC Credit Card Bill AutoDebit,HDFC Card Services,12800,debit,Credit Card Payment,HDFC-Salary,94319
2026-05-25,Amazon Prime Membership Monthly,Amazon Prime,299,debit,Subscription,HDFC-Salary,94020
2026-05-27,Flipkart Summer Sale Clothes,Flipkart,3200,debit,Shopping,HDFC-Salary,90820
2026-05-28,Google One 100GB Cloud Storage,Google One,130,debit,Subscription,HDFC-Salary,90690
2026-05-30,HDFC Ergo Health Insurance Qtr,HDFC Ergo,3200,debit,Insurance,HDFC-Salary,87490
2026-06-01,Monthly Salary Credit Tech Corp,Tech Corp Solutions,85000,credit,Income,HDFC-Salary,172490
